week,paid_search,social,tv,ooh,revenue
1,576.267560045687,656.5553195415328,489.9680114559888,593.1549135699216,4576.546411903498
2,463.2665817859726,572.6535929500318,620.5197205025938,778.474047867924,5396.169259429944
3,811.8541638821204,698.6852528494177,452.7097492054275,779.4565219633182,5422.5937536030815
4,675.2044004765243,520.3430234234106,681.8558245721557,611.3272397627924,5535.785975757885
5,562.9205028449934,439.4209420832306,762.2440833614592,546.0137806690561,6000.143329782563
6,758.9730481885443,379.530348230782,902.7848395991358,806.9051600913486,5410.744915845334
7,594.8545515372164,639.390383308628,500.4726707288039,724.3754933961341,5684.100533901543
8,544.5304926114691,563.5822290136942,420.7448019066871,605.631993634016,5191.04922059907
9,645.8608547484413,460.01755306295155,879.2379913331172,488.4798688585725,5479.156072700141
10,600.1795783339028,349.82196779618744,635.4190437280892,690.009537389023,5404.845990166484
11,647.3248697574826,512.2764636063391,432.20422040709855,452.2929307711516,5027.666772979056
12,386.3972007592359,288.9330049041773,351.4499326546141,472.6331687452495,4746.947715673196
13,631.8741336150243,382.81286341785557,569.4502463256642,467.3581351148541,4974.354758055717
14,462.82636613329066,195.7777459025371,482.97977602296464,485.879781729726,4548.331509847893
15,328.56251390119553,405.90937553402676,534.067524712775,379.270934553647,4554.871681415482
16,412.3265103336186,447.61144645885264,465.8313885143306,363.01168428041575,4423.139821854256
17,458.59580282251744,295.8985182594933,369.8912250911128,415.71261489813253,4215.621667847106
18,417.20420860625865,201.28923851258241,415.2378406438775,398.6255488527049,4138.450727200754
19,368.40717412426727,282.3774676807928,353.35895445688436,258.5553801335152,3849.681167753792
20,339.7362206945495,291.94754565989285,407.96407914977334,367.3408451758223,4259.01918892232
21,255.81492961353905,299.4879602824312,237.43900947171431,272.34999850415034,3837.8732184093346
22,325.0986737171121,273.8730824174597,425.04727381253747,314.0934542875491,3684.2830964440823
23,313.15104692336166,216.6483066543085,299.0245007221914,278.8211498066945,3580.182955178905
24,239.35215029254834,237.66345945414272,231.64726014309906,260.705551579273,3453.2978231994966
25,201.41138310229888,222.21136933167918,216.41399418314901,228.36577163941982,2993.5449430543026
26,241.9275433653218,146.21957206677928,310.99582069242456,286.0886051904849,2671.894199363273
27,287.64022304347696,210.60328048097432,167.24262023155558,191.8508692552734,3258.7469820380443
28,211.38707775203423,227.17120830970575,245.295063512316,273.6444290520188,3153.4405012836346
29,253.0568158352436,179.03370471643908,217.87759626520864,250.7379434139688,3022.1607951466326
30,296.8576265162828,182.32972826566035,215.5800272939776,219.59339502459915,3142.2822318089115
31,418.496049066933,189.0245866572929,346.6817336669982,410.5792043664574,3425.276660351189
32,351.54865666769257,304.80608979277235,256.1289972302186,294.0760305500384,3051.0528208374044
33,253.70095781787424,236.07020999144052,263.20017055976217,382.8517218342781,3432.6842224453476
34,299.97728671944276,307.3867098211336,331.5154837935008,314.4432875201367,3811.0344149362463
35,480.1676546883204,249.2047429090616,445.6275303649433,356.41730550251765,4432.655399572376
36,442.92849340711155,333.0926139112312,312.689088537312,356.2574358958206,4680.315522556376
37,475.96529016277026,282.1613138254124,405.8565918629447,559.9429664266069,3937.681938912361
38,478.7704370469865,541.5648401869005,649.2881406982692,395.73391512900673,4879.450673723661
39,528.6768429640914,286.4913880597753,506.9629423464402,452.08694283718796,4317.751722193324
40,567.505631539488,312.44448084756107,553.1438784113822,487.7347952311498,5012.122141829995
41,540.2027546994426,505.02981866736485,525.5086754537277,444.95502480438523,5259.199915011519
42,685.0800289921644,501.73943883437227,609.1324057587976,576.662796830647,5023.788090016665
43,607.6126433012189,532.6116844337139,578.0853321037772,407.5354072829658,5128.58670452286
44,634.3719154256938,485.3430565091482,711.2939352641498,534.0864568534387,5561.640523898013
45,572.3730441672225,541.2770224133785,440.5232943867132,611.1725830060259,5540.045121742393
46,473.85971167306576,310.97469303994285,644.1563553350909,786.8328217821289,5908.819135787829
47,668.0464532739926,332.1340338737398,721.3755358627722,715.3622549028664,5770.949697842003
48,804.3732507748175,625.9680269082497,588.943804085351,734.2436677948435,5557.975208231372
49,749.4460783599047,501.5182936938268,574.120602488088,685.6302819775889,5440.54067856763
50,647.1811509784267,795.3309023087929,586.0345925850517,802.3409282281643,5931.0223558774705
51,722.884574640441,607.9366959147978,699.3430271615156,645.0242775509821,5584.502979629187
52,1047.9053830403782,695.8896199766687,1013.4605720177778,632.4520146243683,5691.076482322118
53,863.3980867487652,648.8741929424316,788.619391287326,553.7843301981451,5370.744126014307
54,540.1874068111265,551.749787301343,710.7197308357587,871.0643681077373,5885.23220245788
55,888.6398348690907,586.2053112947252,547.5585879847425,703.543915675106,5579.649364415839
56,937.5244965950479,487.6394545921818,891.9255165065052,343.0796077715241,5149.57271969091
57,558.558130053509,521.5882555857634,720.9307762722433,851.7386843400732,6120.6147638544635
58,673.2895836273223,615.6070106629118,577.7209453303666,675.1253308553661,5732.819008541204
59,423.7473070606435,482.2611866107122,631.6204602937104,586.9301434486199,5296.911782104528
60,686.6278633642596,507.6521233511522,728.2837286605973,635.1355494876481,5526.5149473935635
61,643.7601913801489,323.0064903716655,388.1460392919492,512.5291357468092,4949.64546483526
62,451.01457024911065,514.9051973966267,530.0080770286935,547.5850319389845,5179.476397136828
63,557.2804080318672,547.3168700759893,372.43784843455325,568.8496393131419,4929.687906323132
64,642.4739138260746,516.893544081107,402.7701597001839,291.6253898230676,5018.3042277925415
65,698.1412628469972,476.04851678275776,453.16447831122576,624.16927771078,5539.857016573427
66,508.7058482671877,201.66389025889458,387.1490920667209,421.15221813986244,4301.235515221011
67,369.23003641459854,435.63332234116905,473.72960450798826,433.3791982472615,4428.206536746319
68,518.1445364141232,280.40679911349565,451.26733624990055,313.526853473416,4538.267031900205
69,423.56153194467856,224.6306428440211,308.6892985276564,332.4913878198097,4459.701591253229
70,499.68395880000816,255.02264955684024,474.27012451452987,312.5036202752078,3846.5742246567015
71,327.7145685369338,169.35112743201026,344.76473640304505,326.7669270354101,3962.2615245241195
72,288.45489777669496,229.45613029487606,254.82938292614693,253.48887285911078,3421.1758381379263
73,297.05395081528405,199.43338854516085,239.47013138610117,323.2469976511107,3241.411102842486
74,326.550312743296,185.65106539970034,303.7674443460896,308.7306463713375,3531.8644973085884
75,343.58077527900724,199.788655979043,264.8837828890474,233.3073527143817,3126.8738160420858
76,250.139359676194,249.2317993323768,305.62588621712655,227.58086637170422,3470.2153200797575
77,228.1874901740958,177.03658430352945,228.2097795388095,296.60904478732294,3374.298791403799
78,334.44341887252386,179.40496277864492,265.035052804184,171.44989480442786,2900.7144801883564
79,224.1860113013865,207.84808377017288,311.7469721084266,334.1179611441915,3230.9645132609503
80,273.9125284985412,197.33983212754137,210.4336308021179,240.99644524121462,3153.9987139311615
81,186.26409673779156,240.9387738939514,246.82991583456294,286.87454269322706,3281.4744917410317
82,283.7835232058463,201.95332794990506,242.27426546506683,245.24010838236185,3519.2900845544036
83,262.6888536211523,205.24103672696953,368.5545776192282,382.79197721687024,3383.6886434198436
84,220.31879654845622,271.37568660961716,271.7054249661176,323.43496161970677,3590.2823644782043
85,368.7066934758443,270.9293056734064,305.6697782580739,344.7362013101916,3655.0055169167563
86,376.78716514274566,253.50212554193294,232.36213525975518,370.2299927165032,3947.516855716204
87,309.9467936781994,223.67186242337345,411.2460327920266,346.29646118272234,3579.672825484366
88,465.1613812229085,267.38613283364697,344.7299803759479,358.1337172660142,4342.156832287852
89,361.47345129587205,412.5731959627303,477.82854825620024,556.3867528158291,4512.30257705428
90,487.7379901169685,452.4118281685363,347.82526931449905,430.9093836581573,4660.280771714106
91,374.523797787074,385.48884286410873,605.3192485349745,428.76695065385496,4545.4015098241025
92,659.6739934516394,410.6506071526221,432.5737557606068,632.7366631496656,5152.59802865273
93,637.682481028525,458.07239081294,552.1712039710376,434.3408600437935,4788.239441961545
94,759.740400222355,436.97473396666953,610.4847371068327,618.7875919823613,5193.468885164974
95,587.2108802718724,636.173514926849,469.1366395409767,499.6523131291723,4953.956578892614
96,611.3714801363237,377.1417878141591,555.6408488651854,806.0100225281313,5473.491536724403
97,823.0991621644096,617.440088477996,686.6510873938763,353.0245304206945,5525.895444479935
98,671.7155501502284,647.9366425978454,475.8762176049576,713.004201237249,5391.249310485957
99,833.9894810542116,608.4139968031471,593.6386507845782,518.5831688956735,5374.779191256446
100,487.4708109218625,516.1116592870954,599.4981503359651,714.1887098051931,5686.860898039312
101,660.2536541604536,446.5764280724746,919.9170934876744,496.86073247647147,5732.8487787421445
102,828.1163537380374,583.8292033393648,782.2785964620103,626.984575556997,6003.723696976554
103,738.1066218328956,583.1973247651686,554.2621775751118,863.7855773897529,5889.946458879989
104,479.59464911706687,477.7823606409398,664.5315689893773,615.1441852754919,5511.993782366006
